a,r,b
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'num = 38', 'output': '2', 'explanation': 'The process is\n38 --> 3 + 8 --> 11\n11 --> 1 + 1 --> 2 \nSince 2 has only one digit, return it.'}, {'id': 2, 'input': 'num = 0', 'output': '0', 'explanation': None}], topics: [Math], problem_statement: Given an integer num, repeatedly add all its digits until the result has only one digit, and return it., title: Add Digits, constraints: [0 <= num <= 2^31 - 1]})",[:BELONGS_TO_TOPIC],(:Topic {name: Math})
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'num = 38', 'output': '2', 'explanation': 'The process is\n38 --> 3 + 8 --> 11\n11 --> 1 + 1 --> 2 \nSince 2 has only one digit, return it.'}, {'id': 2, 'input': 'num = 0', 'output': '0', 'explanation': None}], topics: [Math], problem_statement: Given an integer num, repeatedly add all its digits until the result has only one digit, and return it., title: Add Digits, constraints: [0 <= num <= 2^31 - 1]})",[:HAS_DIFFICULTY],(:Difficulty {level: Easy})
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'num = 38', 'output': '2', 'explanation': 'The process is\n38 --> 3 + 8 --> 11\n11 --> 1 + 1 --> 2 \nSince 2 has only one digit, return it.'}, {'id': 2, 'input': 'num = 0', 'output': '0', 'explanation': None}], topics: [Math], problem_statement: Given an integer num, repeatedly add all its digits until the result has only one digit, and return it., title: Add Digits, constraints: [0 <= num <= 2^31 - 1]})",[:HAS_SOLUTION],"(:Solution {code: class Solution {
public:
    int addDigits(int num) {
        if(num == 0)
            return 0;
        else if(num % 9 == 0)
            return 9;
        else 
            return num % 9;
    }
};, language: C++, approach: Digital Root (Mathematical Property)})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'num = 38', 'output': '2', 'explanation': 'The process is\n38 --> 3 + 8 --> 11\n11 --> 1 + 1 --> 2 \nSince 2 has only one digit, return it.'}, {'id': 2, 'input': 'num = 0', 'output': '0', 'explanation': None}], topics: [Math], problem_statement: Given an integer num, repeatedly add all its digits until the result has only one digit, and return it., title: Add Digits, constraints: [0 <= num <= 2^31 - 1]})",[:HAS_SOLUTION],"(:Solution {code: class Solution:
    def addDigits(self, num: int) -> int:
        if num == 0:
            return 0
        elif num % 9 == 0:
            return 9
        else:
            return num % 9, language: Python, approach: Digital Root (Mathematical Property)})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'num = 38', 'output': '2', 'explanation': 'The process is\n38 --> 3 + 8 --> 11\n11 --> 1 + 1 --> 2 \nSince 2 has only one digit, return it.'}, {'id': 2, 'input': 'num = 0', 'output': '0', 'explanation': None}], topics: [Math], problem_statement: Given an integer num, repeatedly add all its digits until the result has only one digit, and return it., title: Add Digits, constraints: [0 <= num <= 2^31 - 1]})",[:SIMILAR_TOPIC {shared_topic: Math}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 5, start = 0', 'output': '8', 'explanation': 'Array nums is equal to [0, 2, 4, 6, 8] where (0 ^ 2 ^ 4 ^ 6 ^ 8) = 8.\nWhere ""^"" corresponds to bitwise XOR operator.'}, {'id': 2, 'input': 'n = 4, start = 3', 'output': '8', 'explanation': 'Array nums is equal to [3, 5, 7, 9] where (3 ^ 5 ^ 7 ^ 9) = 8.'}], topics: [Bit Manipulation, Array, Math], problem_statement: You are given an integer n and an integer start.

Define an array nums where nums[i] = start + 2 * i (0-indexed) and n == nums.length.

Return the bitwise XOR of all elements of nums., title: XOR Operation in an Array, constraints: [1 <= n <= 1000, 0 <= start <= 1000, n == nums.length]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'num = 38', 'output': '2', 'explanation': 'The process is\n38 --> 3 + 8 --> 11\n11 --> 1 + 1 --> 2 \nSince 2 has only one digit, return it.'}, {'id': 2, 'input': 'num = 0', 'output': '0', 'explanation': None}], topics: [Math], problem_statement: Given an integer num, repeatedly add all its digits until the result has only one digit, and return it., title: Add Digits, constraints: [0 <= num <= 2^31 - 1]})",[:SIMILAR_TOPIC {shared_topic: Math}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '2', 'explanation': 'There are two ways to climb to the top.\n1. 1 step + 1 step\n2. 2 steps'}, {'id': 2, 'input': 'n = 3', 'output': '3', 'explanation': 'There are three ways to climb to the top.\n1. 1 step + 1 step + 1 step\n2. 1 step + 2 steps\n3. 2 steps + 1 step'}], topics: [Dynamic Programming, Math, Memoization], problem_statement: You are climbing a staircase. It takes n steps to reach the top.

Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?, title: Climbing Stairs, constraints: [1 <= n <= 45]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'num = 38', 'output': '2', 'explanation': 'The process is\n38 --> 3 + 8 --> 11\n11 --> 1 + 1 --> 2 \nSince 2 has only one digit, return it.'}, {'id': 2, 'input': 'num = 0', 'output': '0', 'explanation': None}], topics: [Math], problem_statement: Given an integer num, repeatedly add all its digits until the result has only one digit, and return it., title: Add Digits, constraints: [0 <= num <= 2^31 - 1]})",[:SIMILAR_TOPIC {shared_topic: Math}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'head = [1,0,1]', 'output': '5', 'explanation': '(101) in base 2 = (5) in base 10'}, {'id': 2, 'input': 'head = [0]', 'output': '0', 'explanation': None}], topics: [Linked List, Bit Manipulation, Math], problem_statement: Given head which is a reference node to a singly-linked list. The value of each node in the linked list is either 0 or 1. The linked list holds the binary representation of a number.

Return the decimal value of the number in the linked list.

The most significant bit is at the head of the linked list., title: Convert Binary Number in a Linked List to Integer, constraints: [The Linked List is not empty., Number of nodes will not exceed 30., Each node's value is either 0 or 1.]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'num = 38', 'output': '2', 'explanation': 'The process is\n38 --> 3 + 8 --> 11\n11 --> 1 + 1 --> 2 \nSince 2 has only one digit, return it.'}, {'id': 2, 'input': 'num = 0', 'output': '0', 'explanation': None}], topics: [Math], problem_statement: Given an integer num, repeatedly add all its digits until the result has only one digit, and return it., title: Add Digits, constraints: [0 <= num <= 2^31 - 1]})",[:SIMILAR_TOPIC {shared_topic: Math}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 19', 'output': 'true', 'explanation': '1^2 + 9^2 = 82\n8^2 + 2^2 = 68\n6^2 + 8^2 = 100\n1^2 + 0^2 + 0^2 = 1'}, {'id': 2, 'input': 'n = 2', 'output': 'false', 'explanation': None}], topics: [Math], problem_statement: Write an algorithm to determine if a number n is happy.

A happy number is a number defined by the following process:
- Starting with any positive integer, replace the number by the sum of the squares of its digits.
- Repeat the process until the number equals 1 (where it will stay), or it loops endlessly in a cycle which does not include 1.
- Those numbers for which this process ends in 1 are happy.

Return true if n is a happy number, and false if not., title: Happy Number, constraints: [1 <= n <= 2^31 - 1]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'num = 38', 'output': '2', 'explanation': 'The process is\n38 --> 3 + 8 --> 11\n11 --> 1 + 1 --> 2 \nSince 2 has only one digit, return it.'}, {'id': 2, 'input': 'num = 0', 'output': '0', 'explanation': None}], topics: [Math], problem_statement: Given an integer num, repeatedly add all its digits until the result has only one digit, and return it., title: Add Digits, constraints: [0 <= num <= 2^31 - 1]})",[:SIMILAR_TOPIC {shared_topic: Math}],"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 'buckets = 4, minutesToDie = 15, minutesToTest = 15', 'output': '2', 'explanation': 'We can determine the poisonous bucket as follows:\nAt time 0, feed the first pig buckets 1 and 2, and feed the second pig buckets 2 and 3.\nAt time 15, there are 4 possible outcomes:\n- If only the first pig dies, then bucket 1 must be poisonous.\n- If only the second pig dies, then bucket 3 must be poisonous.\n- If both pigs die, then bucket 2 must be poisonous.\n- If neither pig dies, then bucket 4 must be poisonous.'}, {'id': 2, 'input': 'buckets = 4, minutesToDie = 15, minutesToTest = 30', 'output': '2', 'explanation': 'We can determine the poisonous bucket as follows:\nAt time 0, feed the first pig bucket 1, and feed the second pig bucket 2.\nAt time 15, there are 2 possible outcomes:\n- If either pig dies, then the poisonous bucket is the one it was fed.\n- If neither pig dies, then feed the first pig bucket 3, and feed the second pig bucket 4.\nAt time 30, one of the two pigs must die, and the poisonous bucket is the one it was fed.'}], topics: [Math], problem_statement: There are buckets buckets of liquid, where exactly one of the buckets is poisonous. To figure out which one is poisonous, you feed some number of (poor) pigs the liquid to see whether they will die or not. Unfortunately, you only have minutesToTest minutes to determine which bucket is poisonous.

You can feed the pigs according to these steps:
1. Choose some live pigs to feed.
2. For each pig, choose which buckets to feed it. The pig will consume all the chosen buckets simultaneously and will take no time. Each pig can feed from any number of buckets, and each bucket can be fed from by any number of pigs.
3. Wait for minutesToDie minutes. You may not feed any other pigs during this time.
4. After minutesToDie minutes have passed, any pigs that have been fed the poisonous bucket will die, and all others will survive.
5. Repeat this process until you run out of time.

Given buckets, minutesToDie, and minutesToTest, return the minimum number of pigs needed to figure out which bucket is poisonous within the allotted time., title: Poor Pigs, constraints: [1 <= buckets <= 1000, 1 <= minutesToDie <= minutesToTest <= 100]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 19', 'output': 'true', 'explanation': '1^2 + 9^2 = 82\n8^2 + 2^2 = 68\n6^2 + 8^2 = 100\n1^2 + 0^2 + 0^2 = 1'}, {'id': 2, 'input': 'n = 2', 'output': 'false', 'explanation': None}], topics: [Math], problem_statement: Write an algorithm to determine if a number n is happy.

A happy number is a number defined by the following process:
- Starting with any positive integer, replace the number by the sum of the squares of its digits.
- Repeat the process until the number equals 1 (where it will stay), or it loops endlessly in a cycle which does not include 1.
- Those numbers for which this process ends in 1 are happy.

Return true if n is a happy number, and false if not., title: Happy Number, constraints: [1 <= n <= 2^31 - 1]})",[:BELONGS_TO_TOPIC],(:Topic {name: Math})
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 19', 'output': 'true', 'explanation': '1^2 + 9^2 = 82\n8^2 + 2^2 = 68\n6^2 + 8^2 = 100\n1^2 + 0^2 + 0^2 = 1'}, {'id': 2, 'input': 'n = 2', 'output': 'false', 'explanation': None}], topics: [Math], problem_statement: Write an algorithm to determine if a number n is happy.

A happy number is a number defined by the following process:
- Starting with any positive integer, replace the number by the sum of the squares of its digits.
- Repeat the process until the number equals 1 (where it will stay), or it loops endlessly in a cycle which does not include 1.
- Those numbers for which this process ends in 1 are happy.

Return true if n is a happy number, and false if not., title: Happy Number, constraints: [1 <= n <= 2^31 - 1]})",[:HAS_DIFFICULTY],(:Difficulty {level: Easy})
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 19', 'output': 'true', 'explanation': '1^2 + 9^2 = 82\n8^2 + 2^2 = 68\n6^2 + 8^2 = 100\n1^2 + 0^2 + 0^2 = 1'}, {'id': 2, 'input': 'n = 2', 'output': 'false', 'explanation': None}], topics: [Math], problem_statement: Write an algorithm to determine if a number n is happy.

A happy number is a number defined by the following process:
- Starting with any positive integer, replace the number by the sum of the squares of its digits.
- Repeat the process until the number equals 1 (where it will stay), or it loops endlessly in a cycle which does not include 1.
- Those numbers for which this process ends in 1 are happy.

Return true if n is a happy number, and false if not., title: Happy Number, constraints: [1 <= n <= 2^31 - 1]})",[:HAS_SOLUTION],"(:Solution {code: class Solution {
public:
    bool isHappy(int n) {
        unordered_map<int, int> mp;
        while(n != 1)
        {
            if(mp[n] == 0)
                mp[n]++;
            else
                return false;
            
            int sum = 0;
            while(n != 0)
            {
                sum += pow(n%10, 2);
                n /= 10;
            }
            n = sum;
        }
        return true;
    }
};, language: C++, approach: Hash Set Cycle Detection})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 19', 'output': 'true', 'explanation': '1^2 + 9^2 = 82\n8^2 + 2^2 = 68\n6^2 + 8^2 = 100\n1^2 + 0^2 + 0^2 = 1'}, {'id': 2, 'input': 'n = 2', 'output': 'false', 'explanation': None}], topics: [Math], problem_statement: Write an algorithm to determine if a number n is happy.

A happy number is a number defined by the following process:
- Starting with any positive integer, replace the number by the sum of the squares of its digits.
- Repeat the process until the number equals 1 (where it will stay), or it loops endlessly in a cycle which does not include 1.
- Those numbers for which this process ends in 1 are happy.

Return true if n is a happy number, and false if not., title: Happy Number, constraints: [1 <= n <= 2^31 - 1]})",[:HAS_SOLUTION],"(:Solution {code: class Solution:
    def isHappy(self, n: int) -> bool:
        while n > 4:
            n = sum(int(d)**2 for d in str(n))
        return n == 1, language: Python, approach: Hardcoded Cycle Detection})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 19', 'output': 'true', 'explanation': '1^2 + 9^2 = 82\n8^2 + 2^2 = 68\n6^2 + 8^2 = 100\n1^2 + 0^2 + 0^2 = 1'}, {'id': 2, 'input': 'n = 2', 'output': 'false', 'explanation': None}], topics: [Math], problem_statement: Write an algorithm to determine if a number n is happy.

A happy number is a number defined by the following process:
- Starting with any positive integer, replace the number by the sum of the squares of its digits.
- Repeat the process until the number equals 1 (where it will stay), or it loops endlessly in a cycle which does not include 1.
- Those numbers for which this process ends in 1 are happy.

Return true if n is a happy number, and false if not., title: Happy Number, constraints: [1 <= n <= 2^31 - 1]})",[:SIMILAR_TOPIC {shared_topic: Math}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 5, start = 0', 'output': '8', 'explanation': 'Array nums is equal to [0, 2, 4, 6, 8] where (0 ^ 2 ^ 4 ^ 6 ^ 8) = 8.\nWhere ""^"" corresponds to bitwise XOR operator.'}, {'id': 2, 'input': 'n = 4, start = 3', 'output': '8', 'explanation': 'Array nums is equal to [3, 5, 7, 9] where (3 ^ 5 ^ 7 ^ 9) = 8.'}], topics: [Bit Manipulation, Array, Math], problem_statement: You are given an integer n and an integer start.

Define an array nums where nums[i] = start + 2 * i (0-indexed) and n == nums.length.

Return the bitwise XOR of all elements of nums., title: XOR Operation in an Array, constraints: [1 <= n <= 1000, 0 <= start <= 1000, n == nums.length]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 19', 'output': 'true', 'explanation': '1^2 + 9^2 = 82\n8^2 + 2^2 = 68\n6^2 + 8^2 = 100\n1^2 + 0^2 + 0^2 = 1'}, {'id': 2, 'input': 'n = 2', 'output': 'false', 'explanation': None}], topics: [Math], problem_statement: Write an algorithm to determine if a number n is happy.

A happy number is a number defined by the following process:
- Starting with any positive integer, replace the number by the sum of the squares of its digits.
- Repeat the process until the number equals 1 (where it will stay), or it loops endlessly in a cycle which does not include 1.
- Those numbers for which this process ends in 1 are happy.

Return true if n is a happy number, and false if not., title: Happy Number, constraints: [1 <= n <= 2^31 - 1]})",[:SIMILAR_TOPIC {shared_topic: Math}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '2', 'explanation': 'There are two ways to climb to the top.\n1. 1 step + 1 step\n2. 2 steps'}, {'id': 2, 'input': 'n = 3', 'output': '3', 'explanation': 'There are three ways to climb to the top.\n1. 1 step + 1 step + 1 step\n2. 1 step + 2 steps\n3. 2 steps + 1 step'}], topics: [Dynamic Programming, Math, Memoization], problem_statement: You are climbing a staircase. It takes n steps to reach the top.

Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?, title: Climbing Stairs, constraints: [1 <= n <= 45]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 19', 'output': 'true', 'explanation': '1^2 + 9^2 = 82\n8^2 + 2^2 = 68\n6^2 + 8^2 = 100\n1^2 + 0^2 + 0^2 = 1'}, {'id': 2, 'input': 'n = 2', 'output': 'false', 'explanation': None}], topics: [Math], problem_statement: Write an algorithm to determine if a number n is happy.

A happy number is a number defined by the following process:
- Starting with any positive integer, replace the number by the sum of the squares of its digits.
- Repeat the process until the number equals 1 (where it will stay), or it loops endlessly in a cycle which does not include 1.
- Those numbers for which this process ends in 1 are happy.

Return true if n is a happy number, and false if not., title: Happy Number, constraints: [1 <= n <= 2^31 - 1]})",[:SIMILAR_TOPIC {shared_topic: Math}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'head = [1,0,1]', 'output': '5', 'explanation': '(101) in base 2 = (5) in base 10'}, {'id': 2, 'input': 'head = [0]', 'output': '0', 'explanation': None}], topics: [Linked List, Bit Manipulation, Math], problem_statement: Given head which is a reference node to a singly-linked list. The value of each node in the linked list is either 0 or 1. The linked list holds the binary representation of a number.

Return the decimal value of the number in the linked list.

The most significant bit is at the head of the linked list., title: Convert Binary Number in a Linked List to Integer, constraints: [The Linked List is not empty., Number of nodes will not exceed 30., Each node's value is either 0 or 1.]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 19', 'output': 'true', 'explanation': '1^2 + 9^2 = 82\n8^2 + 2^2 = 68\n6^2 + 8^2 = 100\n1^2 + 0^2 + 0^2 = 1'}, {'id': 2, 'input': 'n = 2', 'output': 'false', 'explanation': None}], topics: [Math], problem_statement: Write an algorithm to determine if a number n is happy.

A happy number is a number defined by the following process:
- Starting with any positive integer, replace the number by the sum of the squares of its digits.
- Repeat the process until the number equals 1 (where it will stay), or it loops endlessly in a cycle which does not include 1.
- Those numbers for which this process ends in 1 are happy.

Return true if n is a happy number, and false if not., title: Happy Number, constraints: [1 <= n <= 2^31 - 1]})",[:SIMILAR_TOPIC {shared_topic: Math}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'num = 38', 'output': '2', 'explanation': 'The process is\n38 --> 3 + 8 --> 11\n11 --> 1 + 1 --> 2 \nSince 2 has only one digit, return it.'}, {'id': 2, 'input': 'num = 0', 'output': '0', 'explanation': None}], topics: [Math], problem_statement: Given an integer num, repeatedly add all its digits until the result has only one digit, and return it., title: Add Digits, constraints: [0 <= num <= 2^31 - 1]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 19', 'output': 'true', 'explanation': '1^2 + 9^2 = 82\n8^2 + 2^2 = 68\n6^2 + 8^2 = 100\n1^2 + 0^2 + 0^2 = 1'}, {'id': 2, 'input': 'n = 2', 'output': 'false', 'explanation': None}], topics: [Math], problem_statement: Write an algorithm to determine if a number n is happy.

A happy number is a number defined by the following process:
- Starting with any positive integer, replace the number by the sum of the squares of its digits.
- Repeat the process until the number equals 1 (where it will stay), or it loops endlessly in a cycle which does not include 1.
- Those numbers for which this process ends in 1 are happy.

Return true if n is a happy number, and false if not., title: Happy Number, constraints: [1 <= n <= 2^31 - 1]})",[:SIMILAR_TOPIC {shared_topic: Math}],"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 'buckets = 4, minutesToDie = 15, minutesToTest = 15', 'output': '2', 'explanation': 'We can determine the poisonous bucket as follows:\nAt time 0, feed the first pig buckets 1 and 2, and feed the second pig buckets 2 and 3.\nAt time 15, there are 4 possible outcomes:\n- If only the first pig dies, then bucket 1 must be poisonous.\n- If only the second pig dies, then bucket 3 must be poisonous.\n- If both pigs die, then bucket 2 must be poisonous.\n- If neither pig dies, then bucket 4 must be poisonous.'}, {'id': 2, 'input': 'buckets = 4, minutesToDie = 15, minutesToTest = 30', 'output': '2', 'explanation': 'We can determine the poisonous bucket as follows:\nAt time 0, feed the first pig bucket 1, and feed the second pig bucket 2.\nAt time 15, there are 2 possible outcomes:\n- If either pig dies, then the poisonous bucket is the one it was fed.\n- If neither pig dies, then feed the first pig bucket 3, and feed the second pig bucket 4.\nAt time 30, one of the two pigs must die, and the poisonous bucket is the one it was fed.'}], topics: [Math], problem_statement: There are buckets buckets of liquid, where exactly one of the buckets is poisonous. To figure out which one is poisonous, you feed some number of (poor) pigs the liquid to see whether they will die or not. Unfortunately, you only have minutesToTest minutes to determine which bucket is poisonous.

You can feed the pigs according to these steps:
1. Choose some live pigs to feed.
2. For each pig, choose which buckets to feed it. The pig will consume all the chosen buckets simultaneously and will take no time. Each pig can feed from any number of buckets, and each bucket can be fed from by any number of pigs.
3. Wait for minutesToDie minutes. You may not feed any other pigs during this time.
4. After minutesToDie minutes have passed, any pigs that have been fed the poisonous bucket will die, and all others will survive.
5. Repeat this process until you run out of time.

Given buckets, minutesToDie, and minutesToTest, return the minimum number of pigs needed to figure out which bucket is poisonous within the allotted time., title: Poor Pigs, constraints: [1 <= buckets <= 1000, 1 <= minutesToDie <= minutesToTest <= 100]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '1', 'explanation': 'F(2) = F(1) + F(0) = 1 + 0 = 1.'}, {'id': 2, 'input': 'n = 3', 'output': '2', 'explanation': 'F(3) = F(2) + F(1) = 1 + 1 = 2.'}, {'id': 3, 'input': 'n = 4', 'output': '3', 'explanation': 'F(4) = F(3) + F(2) = 2 + 1 = 3.'}], topics: [Recursion], problem_statement: The Fibonacci numbers, commonly denoted F(n) form a sequence, called the Fibonacci sequence, such that each number is the sum of the two preceding ones, starting from 0 and 1. That is,
F(0) = 0, F(1) = 1
F(n) = F(n - 1) + F(n - 2), for n > 1.
Given n, calculate F(n)., title: Fibonacci Number, constraints: [0 <= n <= 30]})",[:BELONGS_TO_TOPIC],(:Topic {name: Recursion})
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '1', 'explanation': 'F(2) = F(1) + F(0) = 1 + 0 = 1.'}, {'id': 2, 'input': 'n = 3', 'output': '2', 'explanation': 'F(3) = F(2) + F(1) = 1 + 1 = 2.'}, {'id': 3, 'input': 'n = 4', 'output': '3', 'explanation': 'F(4) = F(3) + F(2) = 2 + 1 = 3.'}], topics: [Recursion], problem_statement: The Fibonacci numbers, commonly denoted F(n) form a sequence, called the Fibonacci sequence, such that each number is the sum of the two preceding ones, starting from 0 and 1. That is,
F(0) = 0, F(1) = 1
F(n) = F(n - 1) + F(n - 2), for n > 1.
Given n, calculate F(n)., title: Fibonacci Number, constraints: [0 <= n <= 30]})",[:HAS_DIFFICULTY],(:Difficulty {level: Easy})
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '1', 'explanation': 'F(2) = F(1) + F(0) = 1 + 0 = 1.'}, {'id': 2, 'input': 'n = 3', 'output': '2', 'explanation': 'F(3) = F(2) + F(1) = 1 + 1 = 2.'}, {'id': 3, 'input': 'n = 4', 'output': '3', 'explanation': 'F(4) = F(3) + F(2) = 2 + 1 = 3.'}], topics: [Recursion], problem_statement: The Fibonacci numbers, commonly denoted F(n) form a sequence, called the Fibonacci sequence, such that each number is the sum of the two preceding ones, starting from 0 and 1. That is,
F(0) = 0, F(1) = 1
F(n) = F(n - 1) + F(n - 2), for n > 1.
Given n, calculate F(n)., title: Fibonacci Number, constraints: [0 <= n <= 30]})",[:HAS_SOLUTION],"(:Solution {code: class Solution {
public:
    int fib(int n) {
        if(n == 0)
        {
            return 0;    
        }
        
        else if(n == 1)
        {
            return 1;
        }
        
        int sum = fib(n-1) + fib(n-2);
        return sum;
    }
};, language: C++, approach: Simple Recursion})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '1', 'explanation': 'F(2) = F(1) + F(0) = 1 + 0 = 1.'}, {'id': 2, 'input': 'n = 3', 'output': '2', 'explanation': 'F(3) = F(2) + F(1) = 1 + 1 = 2.'}, {'id': 3, 'input': 'n = 4', 'output': '3', 'explanation': 'F(4) = F(3) + F(2) = 2 + 1 = 3.'}], topics: [Recursion], problem_statement: The Fibonacci numbers, commonly denoted F(n) form a sequence, called the Fibonacci sequence, such that each number is the sum of the two preceding ones, starting from 0 and 1. That is,
F(0) = 0, F(1) = 1
F(n) = F(n - 1) + F(n - 2), for n > 1.
Given n, calculate F(n)., title: Fibonacci Number, constraints: [0 <= n <= 30]})",[:SIMILAR_TOPIC {shared_topic: Recursion}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'num = 14', 'output': '6', 'explanation': 'Step 1) 14 is even; divide by 2 and obtain 7. \nStep 2) 7 is odd; subtract 1 and obtain 6.\nStep 3) 6 is even; divide by 2 and obtain 3. \nStep 4) 3 is odd; subtract 1 and obtain 2. \nStep 5) 2 is even; divide by 2 and obtain 1. \nStep 6) 1 is odd; subtract 1 and obtain 0.'}, {'id': 2, 'input': 'num = 8', 'output': '4', 'explanation': 'Step 1) 8 is even; divide by 2 and obtain 4. \nStep 2) 4 is even; divide by 2 and obtain 2. \nStep 3) 2 is even; divide by 2 and obtain 1. \nStep 4) 1 is odd; subtract 1 and obtain 0.'}, {'id': 3, 'input': 'num = 123', 'output': '12', 'explanation': None}], topics: [Recursion], problem_statement: Given an integer num, return the number of steps to reduce it to zero.

In one step, if the current number is even, you have to divide it by 2, otherwise, you have to subtract 1 from it., title: Number of Steps to Reduce a Number to Zero, constraints: [0 <= num <= 10^6]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '1', 'explanation': 'F(2) = F(1) + F(0) = 1 + 0 = 1.'}, {'id': 2, 'input': 'n = 3', 'output': '2', 'explanation': 'F(3) = F(2) + F(1) = 1 + 1 = 2.'}, {'id': 3, 'input': 'n = 4', 'output': '3', 'explanation': 'F(4) = F(3) + F(2) = 2 + 1 = 3.'}], topics: [Recursion], problem_statement: The Fibonacci numbers, commonly denoted F(n) form a sequence, called the Fibonacci sequence, such that each number is the sum of the two preceding ones, starting from 0 and 1. That is,
F(0) = 0, F(1) = 1
F(n) = F(n - 1) + F(n - 2), for n > 1.
Given n, calculate F(n)., title: Fibonacci Number, constraints: [0 <= n <= 30]})",[:SIMILAR_TOPIC {shared_topic: Recursion}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 's = [""h"",""e"",""l"",""l"",""o""]', 'output': '[""o"",""l"",""l"",""e"",""h""]', 'explanation': None}, {'id': 2, 'input': 's = [""H"",""a"",""n"",""n"",""a"",""h""]', 'output': '[""h"",""a"",""n"",""n"",""a"",""H""]', 'explanation': None}], topics: [Recursion], problem_statement: Write a function that reverses a string. The input string is given as an array of characters s.

You must do this by modifying the input array in-place with O(1) extra memory., title: Reverse String, constraints: [1 <= s.length <= 10^5, s[i] is a printable ascii character.]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'num = 14', 'output': '6', 'explanation': 'Step 1) 14 is even; divide by 2 and obtain 7. \nStep 2) 7 is odd; subtract 1 and obtain 6.\nStep 3) 6 is even; divide by 2 and obtain 3. \nStep 4) 3 is odd; subtract 1 and obtain 2. \nStep 5) 2 is even; divide by 2 and obtain 1. \nStep 6) 1 is odd; subtract 1 and obtain 0.'}, {'id': 2, 'input': 'num = 8', 'output': '4', 'explanation': 'Step 1) 8 is even; divide by 2 and obtain 4. \nStep 2) 4 is even; divide by 2 and obtain 2. \nStep 3) 2 is even; divide by 2 and obtain 1. \nStep 4) 1 is odd; subtract 1 and obtain 0.'}, {'id': 3, 'input': 'num = 123', 'output': '12', 'explanation': None}], topics: [Recursion], problem_statement: Given an integer num, return the number of steps to reduce it to zero.

In one step, if the current number is even, you have to divide it by 2, otherwise, you have to subtract 1 from it., title: Number of Steps to Reduce a Number to Zero, constraints: [0 <= num <= 10^6]})",[:BELONGS_TO_TOPIC],(:Topic {name: Recursion})
